"","Subject","MD5","TrialType","Number","Element","Experiment","Item","Question","Response","null","RT"
"5921",1606846894,"21a4bdc29f5b26573b349e66e6b67d7b","Form",3,0,"debrief","NULL","prolificID","5f0cd090c46f4017b410ccbf","",NA
"6108",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief1","Most of them were grammatically correct but I cannot remember the incorrect ones","",NA
"6109",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief3","They were the same question with differetn topics","",NA
"6110",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief4","The most boring would be grass and the most exciting would be the food in the store","",NA
"6111",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","debrief5","NO","",NA
"6112",1606846914,"f63e8e36188c4c5aceb4ac6ea6d5cf69","Form",3,0,"debrief","NULL","prolificID","5e6c6e7aff04d6235dc6e5af","",NA
"6299",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"6300",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief3","nothing","",NA
"6301",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief4","trash cans and flowers ","",NA
"6302",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","debrief5","no%2C but it was too long","",NA
"6303",1606846929,"fc73c5670ef4aac4ddc95d98c0344f9e","Form",3,0,"debrief","NULL","prolificID","56169e435c62cf000f822c76","",NA
"6490",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"6491",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief3","they all had to or no to","",NA
"6492",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief4","the most boring would be the sidewalk%2C the most interesting would be the shops","",NA
"6493",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","debrief5","no","",NA
"6494",1606846965,"8107819548e392ccfd4ad2d431b4d6c9","Form",3,0,"debrief","NULL","prolificID","5f7eae7f2dbd401988c4cffa","",NA
"6681",1606846997,"33adf98b0a171b6bf5445a60abe30aa6","Form",3,0,"debrief","NULL","debrief1","Most of the sentences seemed grammatically correct to me%2C but there were some that I wasn't sure about - the ones where there was an option to end in to.","",NA
"6682",1606846997,"33adf98b0a171b6bf5445a60abe30aa6","Form",3,0,"debrief","NULL","debrief3","They could be confusing so I tried to choose the ending that would be less confusing.","",NA
"6683",1606846997,"33adf98b0a171b6bf5445a60abe30aa6","Form",3,0,"debrief","NULL","debrief4","When walking to the nearest grocery store%2C the most boring thing I would see is lots of asphalt. The most interesting thing I would see is my neighbors' gardens.","",NA
"6684",1606846997,"33adf98b0a171b6bf5445a60abe30aa6","Form",3,0,"debrief","NULL","debrief5","It seemed pretty straight-forward.","",NA
"6685",1606846997,"33adf98b0a171b6bf5445a60abe30aa6","Form",3,0,"debrief","NULL","prolificID","5dc066bcb98b12018175a43f","",NA
"6872",1606847002,"cf91bf7447e1fff770293e66b2b481e2","Form",3,0,"debrief","NULL","debrief1","Mostly%2C but some of them seemed awkard. I can't say which ones because i did feel that they went a bit too fast. ","",NA
"6873",1606847002,"cf91bf7447e1fff770293e66b2b481e2","Form",3,0,"debrief","NULL","debrief3","There was a lot of giving things to people/directing people to things.","",NA
"6874",1606847002,"cf91bf7447e1fff770293e66b2b481e2","Form",3,0,"debrief","NULL","debrief4","Walking to the grocery store is only a few minutes walk. The boring part would be walking past the busy street where the sidewalk is dirty. The nicest part would be window shopping in the plaza along the way.","",NA
"6875",1606847002,"cf91bf7447e1fff770293e66b2b481e2","Form",3,0,"debrief","NULL","debrief5","It went a little faster than I would have liked to give my best gut answers.","",NA
"6876",1606847002,"cf91bf7447e1fff770293e66b2b481e2","Form",3,0,"debrief","NULL","prolificID","5f14e0f456500058ee865863","",NA
"7063",1606847021,"6bf924e843f608722e4fe3e2334f52ef","Form",3,0,"debrief","NULL","debrief1","I found about 1/4 to be incorrect","",NA
"7064",1606847021,"6bf924e843f608722e4fe3e2334f52ef","Form",3,0,"debrief","NULL","debrief3","Nothing special","",NA
"7065",1606847021,"6bf924e843f608722e4fe3e2334f52ef","Form",3,0,"debrief","NULL","debrief4","Trees%2C People","",NA
"7066",1606847021,"6bf924e843f608722e4fe3e2334f52ef","Form",3,0,"debrief","NULL","debrief5","No","",NA
"7067",1606847021,"6bf924e843f608722e4fe3e2334f52ef","Form",3,0,"debrief","NULL","prolificID","5d54ee179b7c4e0001887b06","",NA
"7254",1606847047,"4dd460285ad0bfbef124579acec303b6","Form",3,0,"debrief","NULL","debrief1","No I don't think all of the sentence completions were grammatically correct. I can't really recall exact sentences since they'e all blurred together but there were definitely a couple. ","",NA
"7255",1606847047,"4dd460285ad0bfbef124579acec303b6","Form",3,0,"debrief","NULL","debrief3","I noticed that all of the sentences started with 'I'%2C and that they were mostly in past tense. ","",NA
"7256",1606847047,"4dd460285ad0bfbef124579acec303b6","Form",3,0,"debrief","NULL","debrief4","Walking from my house to the closest major grocery store the most boring thing I would see along the way would be grass. Just plain%2C boring gross. While the most interesting thing I would see is the school I went to as a child. Seeing where I played in the school yard and where I learned the most basic of education skills. ","",NA
"7257",1606847047,"4dd460285ad0bfbef124579acec303b6","Form",3,0,"debrief","NULL","debrief5","I don't think I experienced any difficulties but I started to second guess my understanding of the English language and if I was choosing the correct answers. ","",NA
"7258",1606847047,"4dd460285ad0bfbef124579acec303b6","Form",3,0,"debrief","NULL","prolificID","5588643efdf99b53daee40ca","",NA
"7445",1606847116,"acce6ddd9b691697a577bb0c18042055","Form",3,0,"debrief","NULL","debrief1","No. I don't believe you can end a sentence with to. ","",NA
"7446",1606847116,"acce6ddd9b691697a577bb0c18042055","Form",3,0,"debrief","NULL","debrief3","They were all structured the same. They all began with I. ","",NA
"7447",1606847116,"acce6ddd9b691697a577bb0c18042055","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be the Texaco gas station. The most interesting thing would be the status of the vintage/retro store on the corner closer to my house. She might be closing her shop soon.","",NA
"7448",1606847116,"acce6ddd9b691697a577bb0c18042055","Form",3,0,"debrief","NULL","debrief5","None","",NA
"7449",1606847116,"acce6ddd9b691697a577bb0c18042055","Form",3,0,"debrief","NULL","prolificID","5f690fbccaf3170e6927aef0","",NA
"7636",1606847169,"c72aa810a59d6b03f3fbb026f8c10a16","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"7637",1606847169,"c72aa810a59d6b03f3fbb026f8c10a16","Form",3,0,"debrief","NULL","debrief3","though worded differently they both were grammatically correct","",NA
"7638",1606847169,"c72aa810a59d6b03f3fbb026f8c10a16","Form",3,0,"debrief","NULL","debrief4","I think the most boring thing would be the traffic and the most interesting thing would be the train cars stopped on the tracks along side the road. The cars tend to have graffitti all over them","",NA
"7639",1606847169,"c72aa810a59d6b03f3fbb026f8c10a16","Form",3,0,"debrief","NULL","debrief5","no","",NA
"7640",1606847169,"c72aa810a59d6b03f3fbb026f8c10a16","Form",3,0,"debrief","NULL","prolificID","5db896c80f6ebd000d5d8487","",NA
"7827",1606847253,"ed139ce5e39460c4dfc0a70ec7af54df","Form",3,0,"debrief","NULL","debrief1","I thought they were correct for the most part%2C I couldn't point out specifically any that weren't.","",NA
"7828",1606847253,"ed139ce5e39460c4dfc0a70ec7af54df","Form",3,0,"debrief","NULL","debrief3","They all began with I","",NA
"7829",1606847253,"ed139ce5e39460c4dfc0a70ec7af54df","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be a stretch of road with nothing but trees.  The most interesting thing would be the big open area of construction going on where they're building a new shopping center complex.","",NA
"7830",1606847253,"ed139ce5e39460c4dfc0a70ec7af54df","Form",3,0,"debrief","NULL","debrief5","No%2C everything appeared to work as intended.","",NA
"7831",1606847253,"ed139ce5e39460c4dfc0a70ec7af54df","Form",3,0,"debrief","NULL","prolificID","5a0071766e1ea9000124db35","",NA
"8018",1606847284,"21875e4676484f9a74c1c4d766563bde","Form",3,0,"debrief","NULL","debrief1","Mostly all were correct%2C I cannot remember any that were incorrect.","",NA
"8019",1606847284,"21875e4676484f9a74c1c4d766563bde","Form",3,0,"debrief","NULL","debrief3","They were mostly the same except for the word to added to one of them.","",NA
"8020",1606847284,"21875e4676484f9a74c1c4d766563bde","Form",3,0,"debrief","NULL","debrief4","The most interesting thing to see is all the shops along the way. The most boring thing to see is all the traffic and stop lights.","",NA
"8021",1606847284,"21875e4676484f9a74c1c4d766563bde","Form",3,0,"debrief","NULL","debrief5","Nope.","",NA
"8022",1606847284,"21875e4676484f9a74c1c4d766563bde","Form",3,0,"debrief","NULL","prolificID","5cf48ebb06fb120001ed0105","",NA
"8209",1606847319,"a7b08c93c36beb17d231795350392ecf","Form",3,0,"debrief","NULL","debrief1","Some seemed a little off%2C or at least awkward%2C although I can't recall them specifically.","",NA
"8210",1606847319,"a7b08c93c36beb17d231795350392ecf","Form",3,0,"debrief","NULL","debrief3","They seemed a little similar to one another.","",NA
"8211",1606847319,"a7b08c93c36beb17d231795350392ecf","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be random traffic.  The most interesting thing might be a herd of elk crossing the highway%2C as this is not uncommon where I live.","",NA
"8212",1606847319,"a7b08c93c36beb17d231795350392ecf","Form",3,0,"debrief","NULL","debrief5","None.","",NA
"8213",1606847319,"a7b08c93c36beb17d231795350392ecf","Form",3,0,"debrief","NULL","prolificID","5dcede6ce426bd02be7cfaae","",NA
"8400",1606847320,"5c33fb5638f8a3ab66186463613ead56","Form",3,0,"debrief","NULL","debrief1","I think they were all fine.","",NA
"8401",1606847320,"5c33fb5638f8a3ab66186463613ead56","Form",3,0,"debrief","NULL","debrief3","I seem to think that I always need a to in there.","",NA
"8402",1606847320,"5c33fb5638f8a3ab66186463613ead56","Form",3,0,"debrief","NULL","debrief4","The most boring thing I would see on the way to the grocery store would be another Amish person in there horse and buggy.  The most interesting thing I would see on my way to the grocery store would be McDonalds.","",NA
"8403",1606847320,"5c33fb5638f8a3ab66186463613ead56","Form",3,0,"debrief","NULL","debrief5","no","",NA
"8404",1606847320,"5c33fb5638f8a3ab66186463613ead56","Form",3,0,"debrief","NULL","prolificID","5e50cf2e6f8390111edd6211","",NA
"8591",1606847465,"16b75730a5483cb9d29bc4955c9b13ef","Form",3,0,"debrief","NULL","debrief1","For the most part.","",NA
"8592",1606847465,"16b75730a5483cb9d29bc4955c9b13ef","Form",3,0,"debrief","NULL","debrief3","It always involved whether or not to use to at the end.","",NA
"8593",1606847465,"16b75730a5483cb9d29bc4955c9b13ef","Form",3,0,"debrief","NULL","debrief4","Most boring: my vehicle%0AMost interesting: A beautiful big booty girl/woman jogging/walking","",NA
"8594",1606847465,"16b75730a5483cb9d29bc4955c9b13ef","Form",3,0,"debrief","NULL","debrief5","The words scrolled kinda fast...","",NA
"8595",1606847465,"16b75730a5483cb9d29bc4955c9b13ef","Form",3,0,"debrief","NULL","prolificID","5fc53b83b254e90167d62cf4","",NA
"8782",1606847507,"25083e3efc8043f0f36ff24b935ec2c1","Form",3,0,"debrief","NULL","debrief1","I felt that the completions were grammatically correct.","",NA
"8783",1606847507,"25083e3efc8043f0f36ff24b935ec2c1","Form",3,0,"debrief","NULL","debrief3","Nothing in particular that I noticed.","",NA
"8784",1606847507,"25083e3efc8043f0f36ff24b935ec2c1","Form",3,0,"debrief","NULL","debrief4","The most boring thing would probably be the currently empty farm fields that line both sides of the road. The most interesting thing would be the small ranch with the cutest miniature cattle and horses you've ever seen.","",NA
"8785",1606847507,"25083e3efc8043f0f36ff24b935ec2c1","Form",3,0,"debrief","NULL","debrief5","No difficulties.","",NA
"8786",1606847507,"25083e3efc8043f0f36ff24b935ec2c1","Form",3,0,"debrief","NULL","prolificID","597d572d99bd880001772d8e","",NA
"8973",1606847798,"5cb4ff7997fb0b6971ba210ed734d2c9","Form",3,0,"debrief","NULL","debrief1","I didn't notice any that were incorrect. ","",NA
"8974",1606847798,"5cb4ff7997fb0b6971ba210ed734d2c9","Form",3,0,"debrief","NULL","debrief3","All of them were from a first person perspective.","",NA
"8975",1606847798,"5cb4ff7997fb0b6971ba210ed734d2c9","Form",3,0,"debrief","NULL","debrief4","The most boring thing I'd see are the cars driving%2C the most interesting thing might be some of the people i'd come across.","",NA
"8976",1606847798,"5cb4ff7997fb0b6971ba210ed734d2c9","Form",3,0,"debrief","NULL","debrief5","No.","",NA
"8977",1606847798,"5cb4ff7997fb0b6971ba210ed734d2c9","Form",3,0,"debrief","NULL","prolificID","5f361836c44f2e6556bcc287","",NA
"9164",1606849371,"0af5be880d2998bba4710a4b0be453f6","Form",3,0,"debrief","NULL","debrief1","yes","",NA
"9165",1606849371,"0af5be880d2998bba4710a4b0be453f6","Form",3,0,"debrief","NULL","debrief3","They began with I saw","",NA
"9166",1606849371,"0af5be880d2998bba4710a4b0be453f6","Form",3,0,"debrief","NULL","debrief4","The most boring thing I saw during my trip was the used car lot%2C but the most interesting thing that I saw along the way was the beautiful treelined streets","",NA
"9167",1606849371,"0af5be880d2998bba4710a4b0be453f6","Form",3,0,"debrief","NULL","debrief5","no","",NA
"9168",1606849371,"0af5be880d2998bba4710a4b0be453f6","Form",3,0,"debrief","NULL","prolificID","5c0795f64452300001df3304","",NA
"9355",1606936395,"fc512a32d1f8916b777cd35187e00f56","Form",3,0,"debrief","NULL","debrief1","Yes","",NA
"9356",1606936395,"fc512a32d1f8916b777cd35187e00f56","Form",3,0,"debrief","NULL","debrief3","the word to being added to change the sentence structure. ","",NA
"9357",1606936395,"fc512a32d1f8916b777cd35187e00f56","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be street lights. The most interesting thing would be dogs getting walked.","",NA
"9358",1606936395,"fc512a32d1f8916b777cd35187e00f56","Form",3,0,"debrief","NULL","debrief5","No","",NA
"9359",1606936395,"fc512a32d1f8916b777cd35187e00f56","Form",3,0,"debrief","NULL","prolificID","5d9d5ed27be0100013811fe8","",NA
"9546",1606937418,"7e24a844884b03baf85ebf5dfdf7079f","Form",3,0,"debrief","NULL","debrief1","I didn't notice any grammatical errors","",NA
"9547",1606937418,"7e24a844884b03baf85ebf5dfdf7079f","Form",3,0,"debrief","NULL","debrief3","They all started out with 'I saw' or 'I remembered' statements in which the subject of the sentence is receiving something (an action%2C information%2C etc.)","",NA
"9548",1606937418,"7e24a844884b03baf85ebf5dfdf7079f","Form",3,0,"debrief","NULL","debrief4","The most boring thing I see is a trash can by the bus stop.  The most interesting thing I see is an unhoused person selling wrapping paper out of a tinsel-draped shopping cart at the highway off-ramp.","",NA
"9549",1606937418,"7e24a844884b03baf85ebf5dfdf7079f","Form",3,0,"debrief","NULL","debrief5","No","",NA
"9550",1606937418,"7e24a844884b03baf85ebf5dfdf7079f","Form",3,0,"debrief","NULL","prolificID","5dd73f21e73e616e37bf44ba","",NA
"9737",1606937497,"d8bd34d82a43bfd86ff44a2f20d4e922","Form",3,0,"debrief","NULL","debrief1","Some seemed to be grammatically incorrect%2C or at least awkward%2C but I couldn't really remember them enough to specify.","",NA
"9738",1606937497,"d8bd34d82a43bfd86ff44a2f20d4e922","Form",3,0,"debrief","NULL","debrief3","A lot of them varied by whether the word 'to' was included.","",NA
"9739",1606937497,"d8bd34d82a43bfd86ff44a2f20d4e922","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be a field of grass. The most interesting thing is a church at the apex of the hill.","",NA
"9740",1606937497,"d8bd34d82a43bfd86ff44a2f20d4e922","Form",3,0,"debrief","NULL","debrief5","No","",NA
"9741",1606937497,"d8bd34d82a43bfd86ff44a2f20d4e922","Form",3,0,"debrief","NULL","prolificID","5594914efdf99b5eeb772732","",NA
"9928",1606937584,"deb1ce872abc12f294df0041a47535f1","Form",3,0,"debrief","NULL","debrief1","I'm not sure%2C I didn't think about the grammar only about what ended them more naturally","",NA
"9929",1606937584,"deb1ce872abc12f294df0041a47535f1","Form",3,0,"debrief","NULL","debrief3","they were about showing or giving something or someone to ","",NA
"9930",1606937584,"deb1ce872abc12f294df0041a47535f1","Form",3,0,"debrief","NULL","debrief4","the most boring thing would be crop fields that have been harvested. the most interesting thing would be some bushes that look phallic that make me laugh","",NA
"9931",1606937584,"deb1ce872abc12f294df0041a47535f1","Form",3,0,"debrief","NULL","debrief5","none","",NA
"9932",1606937584,"deb1ce872abc12f294df0041a47535f1","Form",3,0,"debrief","NULL","prolificID","579e1e2b275be6000135af15","",NA
"10119",1606937953,"df41e8ebc52c6186314218fc396adba7","Form",3,0,"debrief","NULL","debrief1","Yes%2C some seemed grammatically incorrect%2C but I don't remember them specifically.","",NA
"10120",1606937953,"df41e8ebc52c6186314218fc396adba7","Form",3,0,"debrief","NULL","debrief3","Most of the sentences were based on choosing one of two nouns to be the topic of ownership.","",NA
"10121",1606937953,"df41e8ebc52c6186314218fc396adba7","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be the immense amount of farmland and the most interesting thing would be the brick making plant.","",NA
"10122",1606937953,"df41e8ebc52c6186314218fc396adba7","Form",3,0,"debrief","NULL","debrief5","Nope","",NA
"10123",1606937953,"df41e8ebc52c6186314218fc396adba7","Form",3,0,"debrief","NULL","prolificID","5f6555b88ce24e0e7643bd28","",NA
"10310",1606938167,"2de6dfddf7f808881aac1b97ce32178f","Form",3,0,"debrief","NULL","debrief1","2","",NA
"10311",1606938167,"2de6dfddf7f808881aac1b97ce32178f","Form",3,0,"debrief","NULL","debrief3","not necessarily","",NA
"10312",1606938167,"2de6dfddf7f808881aac1b97ce32178f","Form",3,0,"debrief","NULL","debrief4","an exotic car","",NA
"10313",1606938167,"2de6dfddf7f808881aac1b97ce32178f","Form",3,0,"debrief","NULL","debrief5","no","",NA
"10314",1606938167,"2de6dfddf7f808881aac1b97ce32178f","Form",3,0,"debrief","NULL","prolificID","5f48aed46e656724654b8cd9","",NA
"10501",1606938183,"62a5005fa8dffa0ff31017adfea0378e","Form",3,0,"debrief","NULL","debrief1","I believe they were mostly fine. Nothing stood out%2C at least","",NA
"10502",1606938183,"62a5005fa8dffa0ff31017adfea0378e","Form",3,0,"debrief","NULL","debrief3","I think all the answers worked with them%2C but with how I speak some were better.","",NA
"10503",1606938183,"62a5005fa8dffa0ff31017adfea0378e","Form",3,0,"debrief","NULL","debrief4","The most boring thing would be the houses. People like to keep there homes well kept%2C but it makes them all feel the same. The most interesting is one house%2C with a large fenced yard. In that yard is several chickens that love getting attention.","",NA
"10504",1606938183,"62a5005fa8dffa0ff31017adfea0378e","Form",3,0,"debrief","NULL","debrief5","No difficulties.","",NA
"10505",1606938183,"62a5005fa8dffa0ff31017adfea0378e","Form",3,0,"debrief","NULL","prolificID","5dc36b196c76b327ca120b23","",NA
"10692",1606938392,"b65caca08531198d51727003df892125","Form",3,0,"debrief","NULL","debrief1","i dont think so. at least not anything that caught my attention","",NA
"10693",1606938392,"b65caca08531198d51727003df892125","Form",3,0,"debrief","NULL","debrief3","honesty felt like those lessons on language from 2nd grade","",NA
"10694",1606938392,"b65caca08531198d51727003df892125","Form",3,0,"debrief","NULL","debrief4","boring thing would be the cars but the interesting thing would be the mountains as i can look at them an eah time seen something i didnt last walk.","",NA
"10695",1606938392,"b65caca08531198d51727003df892125","Form",3,0,"debrief","NULL","debrief5","none","",NA
"10696",1606938392,"b65caca08531198d51727003df892125","Form",3,0,"debrief","NULL","prolificID","5be9fd84271bf10001525264","",NA
"10883",1606938490,"e935ad8158f70d115b97eb88f0155382","Form",3,0,"debrief","NULL","debrief1","Most were correct%2C that I can recall.","",NA
"10884",1606938490,"e935ad8158f70d115b97eb88f0155382","Form",3,0,"debrief","NULL","debrief3","Most of the sentence completions seemed to be formal vs. informal speech.","",NA
"10885",1606938490,"e935ad8158f70d115b97eb88f0155382","Form",3,0,"debrief","NULL","debrief4","About half a mile of missing sidewalk on the way to the store - a dirt ditch on the edge of the street would be boring to look at. The same missing sidewalk would be also interesting in the fact that several people have been struck by cars and killed walking it in the past few years%2C so I'd be really interested in why I was walking down it and risking my life.","",NA
"10886",1606938490,"e935ad8158f70d115b97eb88f0155382","Form",3,0,"debrief","NULL","debrief5","No.","",NA
"10887",1606938490,"e935ad8158f70d115b97eb88f0155382","Form",3,0,"debrief","NULL","prolificID","5f5ec3f662497c16a90c7124","",NA
"11074",1606938504,"e8e88cebf08c6b5a36ea755c47bf433b","Form",3,0,"debrief","NULL","debrief1","There were too many sentences to remember","",NA
"11075",1606938504,"e8e88cebf08c6b5a36ea755c47bf433b","Form",3,0,"debrief","NULL","debrief3","The sentences that ended with to.","",NA
"11076",1606938504,"e8e88cebf08c6b5a36ea755c47bf433b","Form",3,0,"debrief","NULL","debrief4","The most boring thing I would see is some houses along the way.  The most interesting thing I would see is the businesses along the way.","",NA
"11077",1606938504,"e8e88cebf08c6b5a36ea755c47bf433b","Form",3,0,"debrief","NULL","debrief5","No","",NA
"11078",1606938504,"e8e88cebf08c6b5a36ea755c47bf433b","Form",3,0,"debrief","NULL","prolificID","5dd436b5f3b7c241ffd4cd5d","",NA
"11265",1606938529,"5b7deafe316389d7a0e64419456165a6","Form",3,0,"debrief","NULL","debrief1","Yes. ","",NA
"11266",1606938529,"5b7deafe316389d7a0e64419456165a6","Form",3,0,"debrief","NULL","debrief3","Many ended in prepositions. ","",NA
"11267",1606938529,"5b7deafe316389d7a0e64419456165a6","Form",3,0,"debrief","NULL","debrief4","Walking to the grocery store from my house is boring. There is not much to see%2C mostly empty plots of land. However%2C there is a farm that has a large plastic dinosaur at their gate that they decorate for the holiday. ","",NA
"11268",1606938529,"5b7deafe316389d7a0e64419456165a6","Form",3,0,"debrief","NULL","debrief5","No. ","",NA
"11269",1606938529,"5b7deafe316389d7a0e64419456165a6","Form",3,0,"debrief","NULL","prolificID","5fc45e5b38a7aa8a75ddadf2","",NA
"11456",1606938540,"8df61cb79c51485d7519aaca9498c120","Form",3,0,"debrief","NULL","debrief1","I thought they were mostly correct but I am not completely sure. ","",NA
"11457",1606938540,"8df61cb79c51485d7519aaca9498c120","Form",3,0,"debrief","NULL","debrief3","The use of the word to","",NA
"11458",1606938540,"8df61cb79c51485d7519aaca9498c120","Form",3,0,"debrief","NULL","debrief4","most boring: parked cars%2C most exciting: dogs walking","",NA
"11459",1606938540,"8df61cb79c51485d7519aaca9498c120","Form",3,0,"debrief","NULL","debrief5","no","",NA
"11460",1606938540,"8df61cb79c51485d7519aaca9498c120","Form",3,0,"debrief","NULL","prolificID","5d61547443c13200193ccb12","",NA
"11647",1606938555,"a4f767f8e7c7c8b1444c6a8ee8a89eb6","Form",3,0,"debrief","NULL","debrief1","There was no use of the word whom%2C which would have allowed for some of the sentences to flow. Not necessarily grammatically incorrect%2C but lacking eloquence","",NA
"11648",1606938555,"a4f767f8e7c7c8b1444c6a8ee8a89eb6","Form",3,0,"debrief","NULL","debrief3","Most of the sentences followed the same basic format","",NA
"11649",1606938555,"a4f767f8e7c7c8b1444c6a8ee8a89eb6","Form",3,0,"debrief","NULL","debrief4","The most interesting thing I would see on my way to the closest major grocery store would be deer and coyotes%2C while street signs are probably the most boring thing I would see.","",NA
"11650",1606938555,"a4f767f8e7c7c8b1444c6a8ee8a89eb6","Form",3,0,"debrief","NULL","debrief5","None at all","",NA
"11651",1606938555,"a4f767f8e7c7c8b1444c6a8ee8a89eb6","Form",3,0,"debrief","NULL","prolificID","5e4493063e28c83278491288","",NA
"11838",1606938612,"448199479f2c01916a9c9c8d29886e0f","Form",3,0,"debrief","NULL","debrief1","no","",NA
"11839",1606938612,"448199479f2c01916a9c9c8d29886e0f","Form",3,0,"debrief","NULL","debrief3","nothing","",NA
"11840",1606938612,"448199479f2c01916a9c9c8d29886e0f","Form",3,0,"debrief","NULL","debrief4","The most boring is the traffic. The most interesting is the homes.","",NA
"11841",1606938612,"448199479f2c01916a9c9c8d29886e0f","Form",3,0,"debrief","NULL","debrief5","no","",NA
"11842",1606938612,"448199479f2c01916a9c9c8d29886e0f","Form",3,0,"debrief","NULL","prolificID","5c659f77d0fb37000172f5dd","",NA
"12029",1606938620,"3329e08d7c3cd8f38a11082e9dd6c1d3","Form",3,0,"debrief","NULL","debrief1","all seemed correct","",NA
"12030",1606938620,"3329e08d7c3cd8f38a11082e9dd6c1d3","Form",3,0,"debrief","NULL","debrief3","that all all had to do with something being shown or given","",NA
"12031",1606938620,"3329e08d7c3cd8f38a11082e9dd6c1d3","Form",3,0,"debrief","NULL","debrief4","the most boring thing i would see on my walk would be the tress. The most interesting thing i would see on my walk is the sky.","",NA
"12032",1606938620,"3329e08d7c3cd8f38a11082e9dd6c1d3","Form",3,0,"debrief","NULL","debrief5","none","",NA
"12033",1606938620,"3329e08d7c3cd8f38a11082e9dd6c1d3","Form",3,0,"debrief","NULL","prolificID","5f6e4ba3f5948936e1ee607d","",NA
"12220",1606938745,"5883a77029b2c10331fe1fbd20cb4db1","Form",3,0,"debrief","NULL","debrief1",".","",NA
"12221",1606938745,"5883a77029b2c10331fe1fbd20cb4db1","Form",3,0,"debrief","NULL","debrief3",".","",NA
"12222",1606938745,"5883a77029b2c10331fe1fbd20cb4db1","Form",3,0,"debrief","NULL","debrief4",".","",NA
"12223",1606938745,"5883a77029b2c10331fe1fbd20cb4db1","Form",3,0,"debrief","NULL","debrief5",".","",NA
"12224",1606938745,"5883a77029b2c10331fe1fbd20cb4db1","Form",3,0,"debrief","NULL","prolificID","5890f7dd4ac8c200013e0e1c","",NA
"12411",1606938785,"e7a76ee9da40ca6a4b02992b897aab3d","Form",3,0,"debrief","NULL","debrief1","The grammar seemed fine as far as I could tell.","",NA
"12412",1606938785,"e7a76ee9da40ca6a4b02992b897aab3d","Form",3,0,"debrief","NULL","debrief3","They felt really similar in structure.","",NA
